Word                Frequency      URL_idx        
---------------------------------------------------------------------

1                   5              [1, 2]         
10                  1              [2]            
107                 1              [1]            
11                  2              [2]            
12                  2              [2]            
13                  2              [2]            
14                  3              [2]            
14–31               1              [2]            
15                  4              [1, 2]         
16                  2              [2]            
17                  2              [2]            
181–193             1              [2]            
182–185             1              [2]            
185278461X          1              [2]            
19                  1              [2]            
1960s               1              [2]            
1983                1              [2]            
1992                1              [2]            
1995                1              [2]            
1996                1              [2]            
1998                1              [2]            
1999                2              [2]            
1–24                1              [2]            
2                   4              [1, 2]         
2000                5              [1, 2]         
2001                1              [2]            
2002                1              [2]            
2003                2              [2]            
2004                4              [1, 2]         
2005                4              [1, 2]         
2006                2              [2]            
20060430            1              [2]            
2007                4              [1, 2]         
2008                2              [2]            
2009                1              [2]            
2010                1              [2]            
20101209            1              [2]            
2011                10             [2]            
2012                1              [2]            
20120807            1              [2]            
2013                1              [1]            
20130911            1              [2]            
20131203            1              [2]            
2014                3              [2]            
20140127            1              [2]            
2015                2              [1, 2]         
2016                1              [2]            
2018                1              [2]            
2019                1              [1]            
2020                3              [1]            
21                  2              [1, 2]         
22                  1              [1]            
2533–2541           1              [2]            
27                  1              [2]            
3                   4              [1, 2]         
30                  4              [2]            
31                  1              [2]            
32                  1              [2]            
33                  1              [2]            
38                  1              [2]            
3–4                 1              [2]            
4                   2              [1, 2]         
41                  1              [1]            
411                 1              [1]            
44                  1              [2]            
46                  1              [1]            
48                  1              [2]            
5                   4              [1, 2]         
6                   4              [1, 2]         
61                  1              [1]            
62                  1              [1]            
65                  1              [2]            
7                   1              [2]            
71                  1              [2]            
72                  1              [2]            
8                   1              [2]            
81                  1              [2]            
82                  1              [2]            
9                   2              [2]            
91                  1              [2]            
92                  1              [2]            
9780123748560       2              [2]            
9780123814791       1              [2]            
9780471228523       1              [2]            
9781439860694       1              [2]            
9781450308373       1              [2]            
9781558604896       1              [2]            
9781591404149       1              [1]            
9783540300175       1              [1]            
9783540679813       1              [1]            
A                   11             [1, 2]         
AAHC                1              [2]            
ACM                 3              [2]            
AOL                 1              [2]            
ASA                 1              [2]            
Academic            1              [2]            
Aggregation         1              [2]            
Aldershot           1              [2]            
Algorithms          2              [2]            
America             1              [2]            
American            1              [2]            
An                  3              [1, 2]         
Analysis            1              [2]            
Anne                1              [1]            
Another             1              [1]            
Anthony             1              [1]            
Antonelli           1              [2]            
Application         5              [1, 2]         
Applications        3              [1, 2]         
Applied             1              [2]            
April               2              [1, 2]         
Archick             1              [2]            
Archived            2              [2]            
As                  6              [1, 2]         
Association         3              [1, 2]         
August              2              [2]            
Azevedo             1              [2]            
BIOMEDICINE         1              [2]            
Background          2              [2]            
Bauknecht           1              [1]            
Before              2              [2]            
Berlin              2              [1]            
Bernhard            1              [2]            
Bibliographic       2              [1]            
Big                 1              [2]            
Biomedical          1              [2]            
Biotech             3              [2]            
Blockeel            1              [1]            
Boca                1              [2]            
BondGraham          2              [2]            
Books               2              [1]            
Bouckaert           1              [2]            
Brief               1              [2]            
Business            5              [2]            
By                  1              [1]            
C                   1              [2]            
CRC                 1              [2]            
CRISPDM             2              [2]            
CS1                 1              [2]            
